name,H0,dHss,S,E
H,216.035,8.467,0.130680,-0.49789104
C,711.185,1.051,0.00574,-37.85373954
N,470.820,8.670,0.191609,-54.48516056
O,246.790,8.683,0.205147,-75.07041213
F,77.284,8.825,0.202789,-99.72629013
S,274.735,4.412,0.032056,-398.10453765
Fe,413.127,4.507,0.027321,-1263.48714287
